color,lineage_name
Red,SxL
Red,MxL1
Neon Blue,MxL2
Green,MxL3
Black,MxL4
Orange,MxL5
Light Blue,SxL.1
Light Blue,MxL1.1
Light Blue,MxL2.1
Light Blue,MxL3.1
Light Blue,MxL4.1
Lime,SxL.2
Lime,MxL2.1
Lime,MxL3.1
Lime,MxL4.1
Lime,MxL1.2
Lime,MxL2.2
Lime,MxL3.2
Lime,MxL4.2
Gray,MxL2.1
Gray,MxL3.1
Gray,MxL4.1
Gray,MxL2.2
Gray,MxL3.2
Gray,MxL4.2
Gray,MxL6
Gray,MxL7
Gray,MxL8
Gray,MxL9
Gray,MxL10
Gray,MxL11
Gray,SxL.3
Gray,MxL1.3
Gray,MxL2.3
Gray,MxL3.3
Gray,MxL4.3
Gray,SxL.4
Gray,MxL1.4
Gray,MxL2.4
Gray,MxL3.4
Gray,MxL4.4
Apricot,MxL2.1
Apricot,MxL3.1
Apricot,MxL4.1
Apricot,MxL2.2
Apricot,MxL3.2
Apricot,MxL4.2
Apricot,MxL6
Apricot,MxL7
Apricot,MxL8
Apricot,MxL9
Apricot,MxL10
Apricot,MxL11
Apricot,SxL.3
Apricot,MxL1.3
Apricot,MxL2.3
Apricot,MxL3.3
Apricot,MxL4.3
Apricot,SxL.4
Apricot,MxL1.4
Apricot,MxL2.4
Apricot,MxL3.4
Apricot,MxL4.4
Lavender,MxL2.1
Lavender,MxL3.1
Lavender,MxL4.1
Lavender,MxL2.2
Lavender,MxL3.2
Lavender,MxL4.2
Lavender,MxL6
Lavender,MxL7
Lavender,MxL8
Lavender,MxL9
Lavender,MxL10
Lavender,MxL11
Lavender,SxL.3
Lavender,MxL1.3
Lavender,MxL2.3
Lavender,MxL3.3
Lavender,MxL4.3
Lavender,SxL.4
Lavender,MxL1.4
Lavender,MxL2.4
Lavender,MxL3.4
Lavender,MxL4.4
Pink,MxL2.1
Pink,MxL3.1
Pink,MxL4.1
Pink,MxL2.2
Pink,MxL3.2
Pink,MxL4.2
Pink,MxL6
Pink,MxL7
Pink,MxL8
Pink,MxL9
Pink,MxL10
Pink,MxL11
Pink,SxL.3
Pink,MxL1.3
Pink,MxL2.3
Pink,MxL3.3
Pink,MxL4.3
Pink,SxL.4
Pink,MxL1.4
Pink,MxL2.4
Pink,MxL3.4
Pink,MxL4.4
Purple,MxL2.1
Purple,MxL3.1
Purple,MxL4.1
Purple,MxL2.2
Purple,MxL3.2
Purple,MxL4.2
Purple,MxL6
Purple,MxL7
Purple,MxL8
Purple,MxL9
Purple,MxL10
Purple,MxL11
Purple,SxL.3
Purple,MxL1.3
Purple,MxL2.3
Purple,MxL3.3
Purple,MxL4.3
Purple,SxL.4
Purple,MxL1.4
Purple,MxL2.4
Purple,MxL3.4
Purple,MxL4.4
Yellow,Rec
Ordering,SxL
Ordering,MxL1
Ordering,MxL2
Ordering,MxL3
Ordering,MxL4
Ordering,MxL5
Ordering,MxL6
Ordering,MxL7
Ordering,MxL8
Ordering,MxL9
Ordering,MxL10
Ordering,MxL11
Ordering,Rec
Ordering,SxL.1
Ordering,MxL1.1
Ordering,MxL2.1
Ordering,MxL3.1
Ordering,MxL4.1
Ordering,SxL.2
Ordering,MxL1.2
Ordering,MxL2.2
Ordering,MxL3.2
Ordering,MxL4.2
Ordering,SxL.3
Ordering,MxL1.3
Ordering,MxL2.3
Ordering,MxL3.3
Ordering,MxL4.3
Ordering,SxL.4
Ordering,MxL1.4
Ordering,MxL2.4
Ordering,MxL3.4
Ordering,MxL4.4
