Id1	Id2	Distance
DEMO_80_1	DEMO_56_1	0.00038208
DEMO_80_1	DEMO_55_1	0.00064964
DEMO_80_1	DEMO_21_1	0.00064964
DEMO_80_1	DEMO_62_1	0.00097466
DEMO_80_1	DEMO_44_1	0.00064964
DEMO_80_1	DEMO_49_1	0.00064964
DEMO_80_1	DEMO_48_1	0.00064988
DEMO_80_1	DEMO_1_28	0.00032475
DEMO_80_1	DEMO_25_1	0.00784208
DEMO_80_1	DEMO_66_1	0.00358085
DEMO_80_1	DEMO_82_1	0.00032741
DEMO_80_1	DEMO_87_1	0.00423445
DEMO_80_1	DEMO_11_2	0.00423378
DEMO_80_1	DEMO_69_1	0.00488890
DEMO_80_1	DEMO_64_1	0.00459601
DEMO_80_1	DEMO_85_1	0.00423445
DEMO_80_1	DEMO_40_1	0.00456018
DEMO_80_1	DEMO_2_16	0.00390754
DEMO_80_1	DEMO_13_1	0.00390754
DEMO_80_1	DEMO_35_1	0.00488802
DEMO_80_1	DEMO_36_1	0.00456079
DEMO_80_1	DEMO_15_1	0.00488890
DEMO_80_1	DEMO_12_2	0.00423378
DEMO_80_1	DEMO_57_1	0.00849982
DEMO_80_1	DEMO_73_1	0.01015582
DEMO_80_1	DEMO_16_1	0.01146756
DEMO_80_1	DEMO_77_1	0.01156467
DEMO_80_1	DEMO_17_1	0.01321203
DEMO_80_1	DEMO_52_1	0.00916467
DEMO_80_1	DEMO_58_1	0.01015609
DEMO_80_1	DEMO_4_3	0.01447321
DEMO_80_1	DEMO_10_2	0.01246707
DEMO_80_1	DEMO_65_1	0.01646657
DEMO_80_1	DEMO_6_2	0.01914475
DEMO_80_1	DEMO_43_1	0.01914496
DEMO_80_1	DEMO_67_1	0.01813790
DEMO_80_1	DEMO_23_1	0.01961903
DEMO_80_1	DEMO_29_1	0.02094463
DEMO_80_1	DEMO_78_1	0.02485679
DEMO_80_1	DEMO_61_1	0.02452631
DEMO_80_1	DEMO_72_1	0.02452197
DEMO_80_1	DEMO_37_1	0.02486553
DEMO_80_1	DEMO_76_1	0.02452197
DEMO_80_1	DEMO_8_2	0.02452631
DEMO_80_1	DEMO_32_1	0.02482641
DEMO_80_1	DEMO_26_1	0.02452631
DEMO_80_1	DEMO_14_1	0.02486553
DEMO_80_1	DEMO_51_1	0.02520041
DEMO_80_1	DEMO_84_1	0.02452197
DEMO_80_1	DEMO_86_1	0.02452631
DEMO_80_1	DEMO_38_1	0.02791292
DEMO_80_1	DEMO_45_1	0.03261235
DEMO_80_1	DEMO_5_2	0.03367643
DEMO_80_1	DEMO_18_1	0.03091077
DEMO_56_1	DEMO_55_1	0.00000000
DEMO_56_1	DEMO_21_1	0.00038212
DEMO_56_1	DEMO_62_1	0.00038212
DEMO_56_1	DEMO_44_1	0.00038212
DEMO_56_1	DEMO_49_1	0.00038212
DEMO_56_1	DEMO_48_1	0.00038223
DEMO_56_1	DEMO_1_28	0.00000000
DEMO_56_1	DEMO_25_1	0.00729776
DEMO_56_1	DEMO_66_1	0.00383096
DEMO_56_1	DEMO_82_1	0.00000000
DEMO_56_1	DEMO_87_1	0.00460049
DEMO_56_1	DEMO_11_2	0.00459949
DEMO_56_1	DEMO_69_1	0.00498570
DEMO_56_1	DEMO_64_1	0.00503007
DEMO_56_1	DEMO_85_1	0.00421558
DEMO_56_1	DEMO_40_1	0.00459949
DEMO_56_1	DEMO_2_16	0.00421558
DEMO_56_1	DEMO_13_1	0.00421558
DEMO_56_1	DEMO_35_1	0.00536991
DEMO_56_1	DEMO_36_1	0.00498456
DEMO_56_1	DEMO_15_1	0.00537121
DEMO_56_1	DEMO_12_2	0.00459949
DEMO_56_1	DEMO_57_1	0.00807366
DEMO_56_1	DEMO_73_1	0.01079961
DEMO_56_1	DEMO_16_1	0.01312451
DEMO_56_1	DEMO_77_1	0.01319592
DEMO_56_1	DEMO_17_1	0.01514903
DEMO_56_1	DEMO_52_1	0.00383096
DEMO_56_1	DEMO_58_1	0.00498570
DEMO_56_1	DEMO_4_3	0.01001853
DEMO_56_1	DEMO_10_2	0.00807009
DEMO_56_1	DEMO_65_1	0.01234793
DEMO_56_1	DEMO_6_2	0.01630011
DEMO_56_1	DEMO_43_1	0.01551256
DEMO_56_1	DEMO_67_1	0.01396050
DEMO_56_1	DEMO_23_1	0.01592224
DEMO_56_1	DEMO_29_1	0.01703806
DEMO_56_1	DEMO_78_1	0.02223990
DEMO_56_1	DEMO_61_1	0.02182698
DEMO_56_1	DEMO_72_1	0.02182812
DEMO_56_1	DEMO_37_1	0.02222720
DEMO_56_1	DEMO_76_1	0.02182676
DEMO_56_1	DEMO_8_2	0.02182459
DEMO_56_1	DEMO_32_1	0.02213004
DEMO_56_1	DEMO_26_1	0.02142782
DEMO_56_1	DEMO_14_1	0.02222358
DEMO_56_1	DEMO_51_1	0.02263591
DEMO_56_1	DEMO_84_1	0.02182676
DEMO_56_1	DEMO_86_1	0.02182816
DEMO_56_1	DEMO_38_1	0.02103210
DEMO_56_1	DEMO_45_1	0.02468328
DEMO_56_1	DEMO_5_2	0.02507957
DEMO_56_1	DEMO_18_1	0.02238421
DEMO_55_1	DEMO_21_1	0.00064977
DEMO_55_1	DEMO_62_1	0.00097474
DEMO_55_1	DEMO_44_1	0.00064977
DEMO_55_1	DEMO_49_1	0.00064977
DEMO_55_1	DEMO_48_1	0.00064985
DEMO_55_1	DEMO_1_28	0.00032478
DEMO_55_1	DEMO_25_1	0.00784361
DEMO_55_1	DEMO_66_1	0.00358146
DEMO_55_1	DEMO_82_1	0.00032744
DEMO_55_1	DEMO_87_1	0.00423527
DEMO_55_1	DEMO_11_2	0.00423445
DEMO_55_1	DEMO_69_1	0.00488994
DEMO_55_1	DEMO_64_1	0.00459696
DEMO_55_1	DEMO_85_1	0.00423527
DEMO_55_1	DEMO_40_1	0.00456079
DEMO_55_1	DEMO_2_16	0.00390826
DEMO_55_1	DEMO_13_1	0.00390826
DEMO_55_1	DEMO_35_1	0.00488890
DEMO_55_1	DEMO_36_1	0.00456157
DEMO_55_1	DEMO_15_1	0.00488994
DEMO_55_1	DEMO_12_2	0.00423445
DEMO_55_1	DEMO_57_1	0.00850172
DEMO_55_1	DEMO_73_1	0.01015731
DEMO_55_1	DEMO_16_1	0.01146900
DEMO_55_1	DEMO_77_1	0.01156359
DEMO_55_1	DEMO_17_1	0.01321064
DEMO_55_1	DEMO_52_1	0.00916648
DEMO_55_1	DEMO_58_1	0.01015823
DEMO_55_1	DEMO_4_3	0.01447645
DEMO_55_1	DEMO_10_2	0.01246933
DEMO_55_1	DEMO_65_1	0.01646934
DEMO_55_1	DEMO_6_2	0.01914794
DEMO_55_1	DEMO_43_1	0.01914848
DEMO_55_1	DEMO_67_1	0.01814107
DEMO_55_1	DEMO_23_1	0.01961664
DEMO_55_1	DEMO_29_1	0.02094197
DEMO_55_1	DEMO_78_1	0.02486108
DEMO_55_1	DEMO_61_1	0.02453082
DEMO_55_1	DEMO_72_1	0.02452631
DEMO_55_1	DEMO_37_1	0.02487016
DEMO_55_1	DEMO_76_1	0.02452631
DEMO_55_1	DEMO_8_2	0.02453082
DEMO_55_1	DEMO_32_1	0.02483086
DEMO_55_1	DEMO_26_1	0.02453082
DEMO_55_1	DEMO_14_1	0.02487016
DEMO_55_1	DEMO_51_1	0.02520499
DEMO_55_1	DEMO_84_1	0.02452631
DEMO_55_1	DEMO_86_1	0.02453082
DEMO_55_1	DEMO_38_1	0.02791809
DEMO_55_1	DEMO_45_1	0.03295266
DEMO_55_1	DEMO_5_2	0.03401814
DEMO_55_1	DEMO_18_1	0.03124938
DEMO_21_1	DEMO_62_1	0.00097474
DEMO_21_1	DEMO_44_1	0.00064977
DEMO_21_1	DEMO_49_1	0.00064977
DEMO_21_1	DEMO_48_1	0.00064985
DEMO_21_1	DEMO_1_28	0.00032478
DEMO_21_1	DEMO_25_1	0.00784361
DEMO_21_1	DEMO_66_1	0.00358146
DEMO_21_1	DEMO_82_1	0.00032744
DEMO_21_1	DEMO_87_1	0.00423527
DEMO_21_1	DEMO_11_2	0.00423445
DEMO_21_1	DEMO_69_1	0.00488994
DEMO_21_1	DEMO_64_1	0.00459696
DEMO_21_1	DEMO_85_1	0.00423527
DEMO_21_1	DEMO_40_1	0.00456079
DEMO_21_1	DEMO_2_16	0.00390826
DEMO_21_1	DEMO_13_1	0.00390826
DEMO_21_1	DEMO_35_1	0.00488890
DEMO_21_1	DEMO_36_1	0.00456157
DEMO_21_1	DEMO_15_1	0.00488994
DEMO_21_1	DEMO_12_2	0.00423445
DEMO_21_1	DEMO_57_1	0.00850172
DEMO_21_1	DEMO_73_1	0.01015731
DEMO_21_1	DEMO_16_1	0.01146900
DEMO_21_1	DEMO_77_1	0.01156385
DEMO_21_1	DEMO_17_1	0.01321096
DEMO_21_1	DEMO_52_1	0.00916648
DEMO_21_1	DEMO_58_1	0.01015823
DEMO_21_1	DEMO_4_3	0.01447645
DEMO_21_1	DEMO_10_2	0.01246933
DEMO_21_1	DEMO_65_1	0.01646934
DEMO_21_1	DEMO_6_2	0.01914794
DEMO_21_1	DEMO_43_1	0.01914848
DEMO_21_1	DEMO_67_1	0.01814107
DEMO_21_1	DEMO_23_1	0.01961712
DEMO_21_1	DEMO_29_1	0.02094249
DEMO_21_1	DEMO_78_1	0.02486108
DEMO_21_1	DEMO_61_1	0.02453082
DEMO_21_1	DEMO_72_1	0.02452631
DEMO_21_1	DEMO_37_1	0.02487016
DEMO_21_1	DEMO_76_1	0.02452631
DEMO_21_1	DEMO_8_2	0.02453082
DEMO_21_1	DEMO_32_1	0.02483086
DEMO_21_1	DEMO_26_1	0.02453082
DEMO_21_1	DEMO_14_1	0.02487016
DEMO_21_1	DEMO_51_1	0.02520499
DEMO_21_1	DEMO_84_1	0.02452631
DEMO_21_1	DEMO_86_1	0.02453082
DEMO_21_1	DEMO_38_1	0.02791809
DEMO_21_1	DEMO_45_1	0.03295336
DEMO_21_1	DEMO_5_2	0.03401888
DEMO_21_1	DEMO_18_1	0.03125003
DEMO_62_1	DEMO_44_1	0.00097474
DEMO_62_1	DEMO_49_1	0.00097474
DEMO_62_1	DEMO_48_1	0.00097498
DEMO_62_1	DEMO_1_28	0.00064964
DEMO_62_1	DEMO_25_1	0.00817136
DEMO_62_1	DEMO_66_1	0.00390754
DEMO_62_1	DEMO_82_1	0.00065496
DEMO_62_1	DEMO_87_1	0.00456157
DEMO_62_1	DEMO_11_2	0.00456079
DEMO_62_1	DEMO_69_1	0.00521645
DEMO_62_1	DEMO_64_1	0.00492583
DEMO_62_1	DEMO_85_1	0.00456157
DEMO_62_1	DEMO_40_1	0.00488730
DEMO_62_1	DEMO_2_16	0.00423445
DEMO_62_1	DEMO_13_1	0.00423445
DEMO_62_1	DEMO_35_1	0.00521546
DEMO_62_1	DEMO_36_1	0.00488802
DEMO_62_1	DEMO_15_1	0.00521645
DEMO_62_1	DEMO_12_2	0.00456079
